epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,1.252663886127472,0.54542,1.0266325969696044,0.6287,0.0009999901402976406,36.5917329788208
2,0.7804718373870849,0.72324,0.720611130619049,0.7504,0.0009999605615798064,37.44175696372986
3,0.6014098080444336,0.7918,0.6333459236145019,0.7841,0.0009999112650142142,39.63136100769043
4,0.4918492613983154,0.83048,0.6418896639823913,0.7882,0.0009998422525470084,40.6815619468689
5,0.4221610894966126,0.8537,0.49405750455856323,0.8336,0.000999753526902683,40.890324115753174
6,0.35763588775634764,0.87544,0.5265868886947632,0.819,0.0009996450915839745,41.73187780380249
7,0.30705344938755036,0.89284,0.4340250713825226,0.8534,0.0009995169508717236,41.87937784194946
8,0.26307881567955016,0.90914,0.4536368103027344,0.8566,0.000999369109824706,42.16716480255127
9,0.2221983371400833,0.92134,0.4338742233276367,0.8612,0.0009992015742794332,41.8276584148407
10,0.18349716489553453,0.93672,0.4655578628540039,0.8534,0.0009990143508499217,43.178874015808105
11,0.1586072598838806,0.94496,0.48386181797981265,0.8542,0.000998807446927432,42.11681318283081
12,0.13421051007986068,0.95256,0.4443312847137451,0.8678,0.0009985808706801766,43.15554976463318
13,0.11840562071442604,0.95866,0.4422240990638733,0.8721,0.0009983346310529979,42.9675931930542
14,0.1015257756191492,0.9651,0.46610461049079893,0.8718,0.0009980687377670148,42.51199555397034
15,0.09221194519042969,0.96822,0.532045449256897,0.8568,0.0009977832013192385,42.54937219619751
16,0.07829904200434684,0.9732,0.5822834491729736,0.8594,0.0009974780329821595,43.623600482940674
17,0.07531997683703899,0.97414,0.4836579988479614,0.8751,0.0009971532448033009,43.491936445236206
18,0.06449735406577588,0.9775,0.5059833024978637,0.8735,0.000996808849604744,42.82348418235779
19,0.06465207756772637,0.97788,0.5384165051937103,0.8673,0.0009964448609826218,42.87215971946716
20,0.05746258480593562,0.98044,0.5154503959655762,0.874,0.0009960612933065816,42.751288414001465
21,0.0530597142097354,0.98148,0.5421203713417053,0.872,0.0009956581617192185,43.503331661224365
22,0.04946628104120493,0.98314,0.5576760933399201,0.868,0.000995235482135477,43.15456295013428
23,0.04794386418163776,0.98344,0.5806631023406983,0.8727,0.000994793271242024,43.13337230682373
24,0.04526847916200757,0.98414,0.5371690114498139,0.875,0.0009943315464965878,43.89417362213135
25,0.03996266302332282,0.98622,0.6109702805042266,0.8649,0.0009938503261272711,43.66340184211731
26,0.044197763019502165,0.98514,0.6571458548545838,0.8521,0.0009933496291318299,43.062758445739746
27,0.03713617814749479,0.9873,0.5430539279460908,0.8777,0.0009928294752769243,43.048088788986206
28,0.03934046134661883,0.98666,0.5614175425052643,0.8748,0.0009922898850973378,43.03897047042847
29,0.034842305848300455,0.98836,0.5671209478855133,0.8727,0.0009917308798951668,43.070236682891846
30,0.03314283581726253,0.98816,0.5983973069190979,0.8709,0.0009911524817389798,43.03864026069641
31,0.03307364477902651,0.98856,0.5579709525108337,0.8787,0.000990554713462945,43.289156913757324
32,0.035865468565896154,0.98802,0.5894259906768798,0.8727,0.000989937598665931,43.445749044418335
33,0.027311048303842546,0.99076,0.6364303809642792,0.8696,0.000989301161710573,43.09554052352905
34,0.03138173620589078,0.98942,0.5887303914070129,0.8751,0.0009886454277223124,43.03160500526428
35,0.03351218533162027,0.9881,0.5466196159362793,0.8807,0.000987970422588404,43.04516243934631
36,0.02555496398448944,0.99136,0.6394959354400634,0.8668,0.0009872761729568952,43.10634160041809
37,0.02763217251557857,0.99042,0.6065487289905548,0.8727,0.000986562706235572,43.13703918457031
38,0.02674413068279624,0.99108,0.5596389820575715,0.8816,0.0009858300505908794,43.43812799453735
39,0.026785633629858495,0.9908,0.5812969302654266,0.8815,0.0009850782349468076,43.19673538208008
40,0.0249104847429879,0.99116,0.6366018487930298,0.8718,0.000984307288983751,43.83000826835632
41,0.027583782050162552,0.99096,0.591780837392807,0.8774,0.0009835172431373362,43.571115493774414
42,0.02386839942775667,0.99148,0.5943594834327698,0.8791,0.00098270812859722,43.28215289115906
43,0.022291184363905342,0.9924,0.6187925932884216,0.8779,0.0009818799773058597,43.501994371414185
44,0.02168409971198067,0.99236,0.645488395023346,0.872,0.0009810328219572496,43.683494329452515
45,0.02131090437043458,0.993,0.6231121585845947,0.881,0.0009801666959956329,43.81108856201172
46,0.02475955777131021,0.9913,0.6095779143571853,0.8759,0.000979281633614179,43.097468852996826
47,0.024432530143540354,0.9918,0.5842953205585479,0.8795,0.0009783776697536357,43.16271924972534
48,0.01803345612884499,0.99402,0.6511058780670166,0.8731,0.000977454840100948,43.13369536399841
49,0.022725328271985056,0.99194,0.6357388299942016,0.8765,0.0009765131810878507,43.4867959022522
50,0.02104665333543904,0.99282,0.6017910998344421,0.8772,0.0009755527298894291,43.44472599029541
51,0.01982540060505271,0.99344,0.5693981326818466,0.8849,0.000974573524422652,43.598427057266235
52,0.018380254760002716,0.99404,0.6080866258144378,0.877,0.0009735756033448745,43.4075391292572
53,0.020725555178131908,0.99272,0.6173968559265137,0.8793,0.0009725590060523122,43.75032925605774
54,0.020569301069192587,0.99298,0.6331069930791855,0.8788,0.0009715237726784855,43.36416506767273
55,0.01664459904640913,0.9941,0.6143434775352478,0.8816,0.0009704699440926354,43.16152286529541
56,0.020219763434724883,0.99318,0.6040322239398956,0.8807,0.0009693975618981098,42.956990480422974
57,0.01810470214658417,0.99384,0.618409323835373,0.8793,0.0009683066684307218,43.036107778549194
58,0.01754307740653865,0.99426,0.5995971694946289,0.883,0.0009671973067570774,43.08458971977234
59,0.01462888477601111,0.99508,0.6713798900604248,0.8732,0.0009660695206728759,43.20072102546692
60,0.020988502838611603,0.99312,0.5900503236293793,0.8796,0.0009649233547011811,43.13589310646057
61,0.015451996290143578,0.99498,0.5960841010093689,0.8828,0.0009637588540906628,43.088348150253296
62,0.01867877184669487,0.99384,0.5803641447544098,0.8872,0.0009625760648138111,43.163325548172
63,0.01421944341948256,0.99562,0.6262421408176422,0.877,0.0009613750335651218,43.131736516952515
