epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,0.9223801543807983,0.69912,0.705126099395752,0.7609,0.0009997535269026829,188.74079012870789
2,0.7013946788501739,0.75964,0.6822759407043457,0.7663,0.0009990143508499217,218.85421705245972
3,0.6698213861846923,0.76946,0.6583561214447021,0.7753,0.0009977832013192385,208.2567720413208
4,0.6555007255172729,0.7746,0.6443514961242676,0.7774,0.0009960612933065818,202.41852235794067
5,0.6457015589141846,0.77532,0.6580936421394348,0.7728,0.0009938503261272714,211.36272597312927
6,0.6390681951904297,0.77816,0.6372023317337037,0.7797,0.00099115248173898,211.18754744529724
7,0.6355495944213867,0.77922,0.6208981651306152,0.7877,0.0009879704225884043,210.1203329563141
8,0.6316176622390747,0.7806,0.6360334070205689,0.7808,0.0009843072889837512,209.1554868221283
9,0.6261657297706604,0.78122,0.6205935453414917,0.7864,0.000980166695995633,208.76870727539062
10,0.6265119606971741,0.78194,0.6249921472549439,0.7875,0.0009755527298894294,209.04218316078186
11,0.6219086672973633,0.78408,0.6116957356452942,0.792,0.0009704699440926358,209.14323353767395
12,0.6180780695724487,0.78538,0.63175784034729,0.7847,0.0009649233547011817,209.02254486083984
13,0.6181283869552612,0.78392,0.6381662263870239,0.7803,0.0009589184355291487,208.12631678581238
14,0.611091404953003,0.78906,0.6141891502380371,0.7881,0.000952461112706777,209.07639861106873
15,0.6143904122924805,0.78616,0.634898688030243,0.781,0.00094555775883209,209.34068512916565
16,0.6136334918022156,0.78512,0.6234160383224487,0.7864,0.0009382151866819101,209.23873329162598
17,0.6165563302612305,0.78404,0.6242341962814331,0.7861,0.0009304406424884702,210.300368309021
18,0.6115070654678345,0.78786,0.6252468002319336,0.7872,0.000922241798788257,209.77012515068054
19,0.6101420554733277,0.78794,0.6332947593688965,0.785,0.0009136267468501441,210.15778589248657
20,0.6147787888336181,0.78732,0.6156030506134034,0.7894,0.0009046039886902867,209.74436020851135
21,0.6107342986297607,0.78652,0.6313529351234436,0.784,0.0008951824286816578,209.7620725631714
22,0.6062202590560913,0.78876,0.6129661636352539,0.7905,0.0008853713647665072,210.33514857292175
23,0.602534269695282,0.79134,0.6266278963088989,0.7858,0.000875180479280415,209.87437558174133
24,0.6088282375526428,0.7901,0.6206373591423034,0.787,0.0008646198293969955,209.1777627468109
25,0.6087118173599243,0.78834,0.6263870471000671,0.7863,0.0008536998372026809,209.4962193965912
26,0.6080013742446899,0.78758,0.6120082767486572,0.7916,0.0008424312794113805,209.42094683647156
27,0.6031408103561401,0.79058,0.622651665687561,0.7835,0.0008308252767291645,209.29095220565796
28,0.6037775124549866,0.78832,0.6221869297027588,0.7883,0.0008188932828794709,209.63030242919922
29,0.6048070942115784,0.78868,0.6482083979606629,0.7772,0.0008066470732996622,209.18902373313904
30,0.6045049693107605,0.79032,0.6191351111412048,0.7871,0.0007940987335200908,209.43116736412048
31,0.6032864380073547,0.78816,0.6244176259040832,0.7878,0.0007812606472371397,209.5473403930664
32,0.5986938788604736,0.79238,0.6073696183204651,0.7944,0.0007681454840920092,210.08288598060608
33,0.6019492125606537,0.7922,0.6104145225524902,0.7908,0.000754766187167311,209.1976511478424
34,0.5985605345726013,0.79018,0.6220211957931518,0.7849,0.0007411359602138073,218.65590643882751
35,0.5978172278022766,0.79296,0.6211023614883423,0.7868,0.0007272682546199041,218.0023033618927
36,0.5981335586166382,0.79338,0.6162696719169617,0.7895,0.0007131767561367543,209.94591283798218
37,0.6000539637374878,0.79148,0.6437326642036438,0.7782,0.0006988753713720733,209.00639367103577
38,0.5997074164772034,0.79088,0.6291684698104858,0.7835,0.0006843782140659972,209.08272886276245
39,0.5986363113975525,0.79068,0.6416674096107483,0.7794,0.0006696995911625235,209.25173592567444
40,0.5939651875782013,0.7931,0.6107058714866638,0.793,0.0006548539886902866,209.00058817863464
41,0.5946412306976319,0.7936,0.6098234800338745,0.7938,0.0006398560574665955,209.14284467697144
42,0.5949381518173218,0.7916,0.6131840554237366,0.7896,0.0006247205986388453,209.07914781570435
43,0.5913024806404114,0.7953,0.6111031410217285,0.7944,0.0006094625490775734,208.94870352745056
44,0.5964067072677612,0.79184,0.6146595695495606,0.7898,0.0005940969666355699,208.79296255111694
45,0.5931160882949829,0.79336,0.6077882845878602,0.7934,0.0005786390152875957,209.02817344665527
46,0.5927781181907654,0.79372,0.610097583770752,0.7926,0.0005631039501653704,209.142413854599
47,0.5925013550281525,0.79336,0.6143321930885315,0.7865,0.0005475071025025982,209.0816206932068
48,0.5958110284042358,0.79352,0.6142815172195435,0.7906,0.0005318638645048924,209.2851161956787
49,0.5927560515403748,0.79344,0.6156749505996704,0.7912,0.0005161896741595254,209.13363242149353
50,0.5891984545135498,0.7936,0.6155790496826172,0.7935,0.0005005000000000003,209.0190839767456
51,0.5895475628662109,0.7957,0.6151595363616943,0.7907,0.0004848103258404752,209.24397206306458
52,0.5868870411682129,0.79484,0.6141343494415283,0.7909,0.00046913613549510823,209.30756068229675
53,0.5897278842926026,0.79612,0.6127931726455689,0.7906,0.0004534928974974023,209.17219257354736
54,0.5889393461418152,0.79446,0.6130667140960694,0.7914,0.00043789604983463025,208.86583423614502
55,0.5835659090423584,0.79776,0.6092021202087402,0.792,0.00042236098471240487,209.00398063659668
56,0.5851449516773224,0.79724,0.6142333198547363,0.7917,0.00040690303336443076,208.84278964996338
57,0.5869572955799103,0.7963,0.6163117959976196,0.7886,0.00039153745092242734,209.1421239376068
58,0.5872529775619507,0.79364,0.6155653036117553,0.7877,0.0003762794013611552,208.65815901756287
59,0.5841088418197632,0.79662,0.6122624746322631,0.7914,0.0003611439425334052,209.29717254638672
60,0.5825590640640259,0.79732,0.608998917388916,0.7932,0.00034614601130971405,208.90172743797302
61,0.5826176240158081,0.79846,0.607946722984314,0.793,0.0003313004088374771,208.69940781593323
62,0.5824536451339721,0.79766,0.6066448977470398,0.7943,0.00031662178593400364,208.8164541721344
