epoch,train_loss,train_acc,test_loss,test_acc,epoch_time
1,0.5397998858642579,0.81338,0.47655959281921384,0.8383,207.5162422657013
2,0.3403806072807312,0.88354,0.3767264690876007,0.8698,201.44930219650269
3,0.25643013649463653,0.91174,0.285222638463974,0.9021,229.40765690803528
4,0.2072236379957199,0.92836,0.3199004651784897,0.89,226.1285719871521
5,0.16239516251564026,0.9448,0.3170422833442688,0.9038,206.54452657699585
6,0.13891511024713515,0.95224,0.31811761012077333,0.9027,284.2973458766937
7,0.10905772420227527,0.96284,0.30731436507701876,0.909,180.34862565994263
8,0.09046804342210293,0.96908,0.295312756729126,0.9145,170.83181238174438
9,0.07760523035883904,0.9728,0.29431446533203126,0.9148,174.03164339065552
10,0.06061069123864174,0.97948,0.2917955729722977,0.9227,174.0986979007721
11,0.04881425875559449,0.98336,0.301787641119957,0.9191,175.20181393623352
12,0.04131514746159315,0.98628,0.3045229175567627,0.9218,176.29488849639893
13,0.032039548470638696,0.98878,0.3579423104286194,0.9165,174.6804485321045
14,0.03323725858516991,0.98842,0.3470887792110443,0.9166,175.6404731273651
15,0.021191443538684396,0.99306,0.3329272560119629,0.9255,175.0029056072235
16,0.018626405548052862,0.9937,0.34297893884778025,0.9229,175.51717567443848
17,0.014918560050390661,0.99502,0.3219556441664696,0.9281,200.82509541511536
18,0.010001117457537912,0.99676,0.3313807330787182,0.9297,255.57689929008484
19,0.007658353120642714,0.9977,0.3419220263957977,0.9301,304.14765191078186
20,0.005574129777441267,0.9985,0.329086732172966,0.9337,368.39856362342834
21,0.002859819918732392,0.99922,0.32543570817708967,0.934,564.753301858902
22,0.004098884448275785,0.9988,0.3418374313116074,0.9339,354.34673166275024
23,0.0020772335006471257,0.9994,0.33418047392368316,0.9374,229.85382199287415
24,0.0011746913413825677,0.99976,0.3311105246603489,0.9372,220.60289549827576
25,0.0008471852204122115,0.99984,0.3360808422446251,0.9359,233.05414628982544
26,0.0005848171478591394,0.99986,0.32918299801647666,0.9399,218.50206995010376
27,0.0005648248697968666,0.9999,0.32834358893334864,0.9385,204.12189626693726
28,0.0003620682308336836,0.99996,0.32974578092098233,0.9394,211.045592546463
29,0.0002575395431858487,0.99996,0.3251717610016465,0.9404,217.9309847354889
30,0.00028273158886702734,0.99996,0.3244273612499237,0.9392,211.11686873435974
