epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,1.334215315208435,0.51644,1.026228878211975,0.6278,0.0009999901402976406,35.895681619644165
2,0.8482901733779907,0.69948,0.8272942350387573,0.7152,0.0009999605615798064,36.844138383865356
3,0.6318908648872376,0.78044,0.6501281257629394,0.7813,0.0009999112650142142,37.88734197616577
4,0.5167728802394866,0.82206,0.5565153907775879,0.8096,0.0009998422525470084,38.55942726135254
5,0.433318207244873,0.84894,0.4869185067176819,0.833,0.000999753526902683,47.256211280822754
6,0.3657223043251038,0.8734,0.4643123806476593,0.8422,0.0009996450915839745,50.42179203033447
7,0.31134052229881287,0.89148,0.480493897151947,0.8463,0.0009995169508717236,50.24919319152832
8,0.26465513597488405,0.90736,0.5370178018569947,0.834,0.000999369109824706,50.32359790802002
9,0.22567907146453858,0.92244,0.4896053500175476,0.8457,0.0009992015742794332,50.39391541481018
10,0.1942384444618225,0.93154,0.4552696805000305,0.8579,0.0009990143508499217,45.63003134727478
11,0.16230150497436524,0.9435,0.4655337537765503,0.86,0.000998807446927432,38.81763577461243
12,0.14261439965963363,0.94912,0.4600359889984131,0.8585,0.0009985808706801766,39.458643674850464
13,0.11526742394685745,0.96024,0.4898809003353119,0.8648,0.0009983346310529979,39.58045220375061
14,0.10924752537846565,0.96194,0.4686437910556793,0.8744,0.0009980687377670148,39.49558877944946
15,0.08956659225702286,0.96842,0.5059819087028503,0.8658,0.0009977832013192385,39.70381832122803
16,0.07782858932994306,0.97278,0.5223435473918915,0.8711,0.0009974780329821595,40.79488682746887
17,0.07056423881322145,0.97522,0.557784628200531,0.8648,0.0009971532448033009,45.5268235206604
18,0.06958077583312988,0.97622,0.5237978662490844,0.8748,0.000996808849604744,54.230652809143066
19,0.06189671444892883,0.97914,0.5218563302993774,0.8723,0.0009964448609826218,52.058876752853394
20,0.056461672026216984,0.98052,0.567802628993988,0.8659,0.0009960612933065816,50.908108711242676
21,0.058020375708937644,0.98032,0.548756839799881,0.8734,0.0009956581617192185,52.991501569747925
22,0.05214827791154385,0.98244,0.5581527231216431,0.8696,0.000995235482135477,51.75948786735535
23,0.05142346975922585,0.98296,0.5384910215377807,0.8776,0.000994793271242024,50.68308138847351
24,0.04671103443741798,0.98442,0.5160135267257691,0.879,0.0009943315464965878,50.345823764801025
25,0.04359949616998434,0.98538,0.5470772063016891,0.8743,0.0009938503261272711,50.512518644332886
26,0.04040423021480441,0.98612,0.5796914489269257,0.875,0.0009933496291318299,46.83516240119934
27,0.04011028771594167,0.98584,0.5771692390441895,0.8674,0.0009928294752769243,38.73425555229187
28,0.03882173117481172,0.98692,0.5785840498924255,0.872,0.0009922898850973378,39.1133975982666
29,0.03255435796499252,0.98848,0.5592953445434571,0.8792,0.0009917308798951668,39.75674915313721
30,0.034957205568403,0.9878,0.587415639591217,0.8739,0.0009911524817389798,39.30558466911316
31,0.0342519896003604,0.9879,0.5670555702209472,0.8786,0.000990554713462945,39.779000997543335
32,0.029614256422668697,0.98978,0.5803926513195038,0.8763,0.000989937598665931,40.07018280029297
33,0.032540176341570914,0.9884,0.5664363907098771,0.8816,0.000989301161710573,41.24546813964844
34,0.02893272464197129,0.9902,0.6411507322311402,0.8669,0.0009886454277223124,41.4366180896759
35,0.02986513666331768,0.99006,0.6097288375616073,0.8786,0.000987970422588404,41.464433670043945
36,0.028547043150886894,0.99024,0.5838215113162994,0.8785,0.0009872761729568952,41.05652070045471
37,0.028846611054986714,0.99056,0.5861479272842407,0.8743,0.000986562706235572,41.15635538101196
38,0.029216921464540066,0.99018,0.5899990614652634,0.8767,0.0009858300505908794,41.36987805366516
39,0.025357619838286192,0.99124,0.5778083615303039,0.8782,0.0009850782349468076,41.06185030937195
40,0.024999186959019863,0.99096,0.5830786027908326,0.8831,0.000984307288983751,41.244316816329956
41,0.02398257781818509,0.99188,0.6136987466812134,0.8801,0.0009835172431373362,41.2113733291626
42,0.02369172368276864,0.9922,0.5993399678230286,0.876,0.00098270812859722,41.33439612388611
43,0.023996121160443872,0.9917,0.6106534699440003,0.876,0.0009818799773058597,41.424429178237915
44,0.025673924986943604,0.99084,0.60831300740242,0.8773,0.0009810328219572496,41.156408071517944
45,0.023635058066025377,0.9915,0.6588198298454284,0.8688,0.0009801666959956329,41.22266602516174
46,0.02331752502564341,0.99232,0.557013812828064,0.8815,0.000979281633614179,41.15243601799011
47,0.018457299253437667,0.9933,0.6170282983779907,0.8796,0.0009783776697536357,41.271742820739746
48,0.021337228009551762,0.99252,0.6267899644851684,0.8749,0.000977454840100948,41.34996175765991
49,0.022184823494292797,0.9927,0.6002469692230225,0.8783,0.0009765131810878507,41.10337686538696
50,0.020980961669161916,0.99284,0.6080073809623718,0.877,0.0009755527298894291,41.30340552330017
51,0.019437310732435435,0.99364,0.5875919686794281,0.8831,0.000974573524422652,41.524205446243286
52,0.01984496963386773,0.99342,0.618558960056305,0.8797,0.0009735756033448745,41.289233446121216
53,0.020175209387382494,0.99316,0.6039682528972625,0.8786,0.0009725590060523122,41.28549790382385
54,0.016724094449253754,0.99436,0.664897594165802,0.8723,0.0009715237726784855,41.92631125450134
55,0.02243273828299716,0.9923,0.5671257307052612,0.8847,0.0009704699440926354,41.81993508338928
56,0.01771114082490094,0.99392,0.6393368420124054,0.8729,0.0009693975618981098,41.14248538017273
57,0.014578138551022857,0.99494,0.6174140114068984,0.8857,0.0009683066684307218,41.464375495910645
58,0.020162393518863245,0.9933,0.6091330737113952,0.8806,0.0009671973067570774,41.2205765247345
59,0.018196391571210696,0.99358,0.6181236696243286,0.8829,0.0009660695206728759,41.3702392578125
60,0.018628682399783283,0.99372,0.5827626869440079,0.8859,0.0009649233547011811,41.34691548347473
61,0.016444195299718994,0.9941,0.5780338535308838,0.8882,0.0009637588540906628,41.32428526878357
62,0.01636835808880627,0.99454,0.6504275423049927,0.88,0.0009625760648138111,41.512168884277344
63,0.019996696051992478,0.9933,0.5941647303581238,0.882,0.0009613750335651218,41.23498606681824
64,0.01354643244728446,0.99514,0.6190608367443085,0.8864,0.0009601558077592517,41.269707918167114
65,0.017266852341312915,0.99402,0.6016331471920013,0.8843,0.000958918435529148,41.140758991241455
66,0.01675971408456564,0.99414,0.6224018326282501,0.8819,0.0009576629657241478,41.23451280593872
67,0.014536846333760768,0.9951,0.6416520145893096,0.8822,0.0009563894479080492,41.63786721229553
68,0.016717106889318673,0.99428,0.6623873989105225,0.8764,0.0009550979323571548,41.039894819259644
