epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,0.21303352305412293,0.93414,0.16155355126857757,0.9462,0.0009972636867364526,1013.5341429710388
2,0.13106551808714867,0.95512,0.16733644800186157,0.9447,0.000989084726566536,1487.6038355827332
3,0.10683176541566848,0.96268,0.16106202355623245,0.9487,0.0009755527298894295,1329.1518166065216
4,0.0868879911673069,0.96956,0.15774960359334947,0.9494,0.0009568159560924792,1320.836219072342
5,0.06699885378479957,0.97708,0.1596291036605835,0.95,0.0009330796891903274,1440.557177066803
6,0.052041345580816266,0.98188,0.15909717559814454,0.9515,0.0009046039886902865,1426.1293663978577
7,0.03669285262316466,0.98816,0.1652370729327202,0.9527,0.0008717008403259585,1440.69664144516
8,0.027636392155066133,0.9913,0.17708707695007325,0.9527,0.0008347307378762498,1456.8629896640778
9,0.02067759890168905,0.99384,0.1871570113837719,0.95,0.0007940987335200904,1457.4800388813019
10,0.014122675508074462,0.99634,0.19869279723167418,0.9501,0.00075025,1491.0006420612335
11,0.010792072335258127,0.99738,0.20139050476551057,0.9512,0.0007036649532163624,1368.0147840976715
12,0.00739879960577935,0.99838,0.20896246613152325,0.9518,0.0006548539886902864,1381.9441170692444
13,0.005452018566317857,0.99908,0.2108415661305189,0.9517,0.0006043518895634709,1378.5169169902802
14,0.004790243796799332,0.9991,0.21297728482931852,0.9534,0.0005527119674021931,1453.7216393947601
15,0.0026305325018195435,0.99986,0.22893561594486236,0.953,0.0005005000000000002,1438.249900817871
16,0.001984867183403112,0.99984,0.2424473849117756,0.9546,0.00044828803259780724,1435.7144694328308
17,0.001148630993384868,0.99998,0.22991867719814182,0.9549,0.0003966481104365292,1439.0995647907257
18,0.000642679931324601,1.0,0.237111707329005,0.956,0.00034614601130971383,1393.2908005714417
19,0.0005883885859517613,1.0,0.24100030033886433,0.9548,0.00029733504678363786,1374.370334148407
20,0.0010435411176318303,0.9999,0.2420127764046192,0.9546,0.00025075000000000016,1051.7884991168976
21,0.000500514533543028,1.0,0.24759926440864802,0.9563,0.00020690126647990976,808.1550166606903
22,0.00044277372437529264,0.99998,0.25265420869886873,0.9547,0.0001662692621237505,768.0612139701843
23,0.0002775802845135331,1.0,0.252776909032464,0.9554,0.00012929915967404166,770.8230173587799
24,0.0002237635427567875,1.0,0.25695868328362703,0.9547,9.639601130971383e-05,776.3476419448853
25,0.00020417170910499408,1.0,0.2584046695753932,0.9543,6.792031080967288e-05,780.8254287242889
26,0.00017527056995895692,1.0,0.26098314544931056,0.9548,4.418404390752082e-05,786.5246498584747
27,0.00015955193319241515,1.0,0.2622683084301651,0.9549,2.5447270110570814e-05,789.09903383255
28,0.0001490620636055246,1.0,0.2642572700828314,0.9549,1.1915273433464061e-05,789.6924781799316
29,0.00014271541301743128,1.0,0.2647328261807561,0.9552,3.736313263547436e-06,792.6389164924622
30,0.0001362459220222081,1.0,0.264881454436481,0.9552,1e-06,791.3896703720093
