epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,1.6449668143463134,0.39738,1.5071281776428223,0.4423,0.0009999901402976406,50.28226399421692
2,1.428144796333313,0.47974,1.413050675201416,0.4922,0.0009999605615798064,49.4037070274353
3,1.3136144103240968,0.52154,1.2953607795715332,0.5293,0.0009999112650142142,49.487547874450684
4,1.231826501083374,0.55308,1.196991158103943,0.5683,0.0009998422525470084,49.84118366241455
5,1.1654223741149903,0.57654,1.2047198040008544,0.5634,0.000999753526902683,49.8066930770874
6,1.1194512683868407,0.59516,1.1239017910003661,0.5893,0.0009996450915839745,49.76675009727478
7,1.0632357564544679,0.61586,1.0696304906845093,0.6128,0.0009995169508717236,49.787025451660156
8,1.0225006760406494,0.62976,1.0551509048461913,0.619,0.000999369109824706,50.149139404296875
9,0.9830625570869446,0.64622,1.0217881370544433,0.6394,0.0009992015742794332,50.03228449821472
10,0.944857918548584,0.66046,1.0211327474594116,0.6345,0.0009990143508499217,50.42694854736328
11,0.910919985294342,0.67204,0.9832101153373718,0.658,0.000998807446927432,50.09083890914917
12,0.8762384936523437,0.68518,0.9659351404190063,0.6568,0.0009985808706801766,50.14454102516174
13,0.8455964261627197,0.69576,0.9375844430923462,0.6737,0.0009983346310529979,50.1425564289093
14,0.8127218334960937,0.71042,0.9191920036315918,0.6762,0.0009980687377670148,50.27608776092529
15,0.7844318077278137,0.71706,0.9371758037567138,0.6757,0.0009977832013192385,50.37711048126221
16,0.7574708947753906,0.72634,0.9289513029098511,0.6761,0.0009974780329821595,50.307753801345825
17,0.7333441576004028,0.7375,0.8775970280647278,0.691,0.0009971532448033009,50.289100885391235
18,0.7056089819717407,0.74782,0.869810563659668,0.6989,0.000996808849604744,50.12366557121277
19,0.681483332915306,0.75714,0.9182309254646301,0.6885,0.0009964448609826218,50.28261685371399
20,0.6542111991882325,0.7643,0.8805591665267944,0.7005,0.0009960612933065816,50.23872208595276
21,0.6339199572753906,0.77172,0.9176566970825195,0.6846,0.0009956581617192185,50.50607681274414
22,0.6088437600135803,0.78132,0.8822458684921265,0.7048,0.000995235482135477,50.26602053642273
23,0.588981722984314,0.78866,0.8707981704711915,0.7089,0.000994793271242024,50.224790811538696
24,0.5650026972007751,0.79616,0.8738152231216431,0.7123,0.0009943315464965878,50.76121807098389
25,0.5394326781845092,0.80532,0.8957366035461426,0.7123,0.0009938503261272711,50.41125750541687
26,0.5217198721885681,0.81326,0.9020635818481445,0.6999,0.0009933496291318299,50.398789167404175
27,0.5036790824031829,0.8212,0.8946596926689148,0.7092,0.0009928294752769243,50.577908992767334
28,0.4875563112640381,0.82532,0.8769007667541504,0.712,0.0009922898850973378,50.25619602203369
29,0.4634247386455536,0.83244,0.9151857999801636,0.7081,0.0009917308798951668,50.279412508010864
30,0.4492784030151367,0.83804,0.8776696223258972,0.7112,0.0009911524817389798,50.32491993904114
31,0.43422812315940856,0.84212,0.9421307636260986,0.7122,0.000990554713462945,50.29970836639404
32,0.41677375814437867,0.85026,0.9337326120376587,0.7159,0.000989937598665931,50.48733901977539
33,0.4024187837600708,0.85386,0.9612988233566284,0.7148,0.000989301161710573,50.49520826339722
34,0.3882037648630142,0.85916,0.8965425479888915,0.7173,0.0009886454277223124,50.25499224662781
35,0.37220764459609984,0.86486,0.9347704311370849,0.723,0.000987970422588404,50.20482611656189
36,0.35361935417175294,0.87336,0.9816429336547852,0.7195,0.0009872761729568952,50.317421674728394
37,0.34114652713775634,0.87696,0.9784369867324829,0.7159,0.000986562706235572,50.30557107925415
38,0.3273129763698578,0.88212,0.9961774321556092,0.7117,0.0009858300505908794,50.68337440490723
39,0.32202971738815306,0.88344,0.9655913051605225,0.7188,0.0009850782349468076,50.4915976524353
40,0.30682594839096067,0.88868,0.966137403678894,0.7226,0.000984307288983751,50.44522786140442
41,0.29419637888908384,0.89306,1.0171993854522705,0.7221,0.0009835172431373362,50.23629570007324
42,0.289281450920105,0.89692,0.9895364433288574,0.7213,0.00098270812859722,50.24939584732056
43,0.273508773753643,0.9014,1.076452989578247,0.7228,0.0009818799773058597,50.36137580871582
44,0.2656668765544891,0.90332,1.035370972251892,0.7264,0.0009810328219572496,50.65432810783386
45,0.25999597182273865,0.90516,1.0359206641197205,0.7218,0.0009801666959956329,50.44265413284302
46,0.2510202636241913,0.90844,1.0394917905807495,0.7312,0.000979281633614179,50.432738065719604
47,0.24202562888145446,0.91128,1.057154390144348,0.7269,0.0009783776697536357,50.20033073425293
48,0.23650952736854552,0.91392,1.0707817878723145,0.7278,0.000977454840100948,50.35820555686951
49,0.23254472897529602,0.91542,1.0639944385528564,0.7271,0.0009765131810878507,50.25982046127319
50,0.2213811044359207,0.92096,1.1322287943840026,0.721,0.0009755527298894291,50.58197355270386
51,0.21632438231945036,0.92322,1.0804545179367064,0.7273,0.000974573524422652,50.27688646316528
