epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,1.6752680791473389,0.3729,1.3470139793395997,0.493,0.001,19.664097785949707
2,1.2888966146087646,0.52984,1.1480959173202514,0.5856,0.001,20.261616468429565
3,1.0823738635253906,0.61052,0.9949018714904785,0.6424,0.001,19.372455835342407
4,0.9562022715950013,0.65878,0.8884249643325806,0.6853,0.001,20.422314643859863
5,0.853619296913147,0.69888,0.7656063175201416,0.7326,0.001,20.773101329803467
6,0.7800942751693726,0.72344,0.7321099630355835,0.7422,0.001,19.671682596206665
7,0.7309004682350159,0.74036,0.7477084346294403,0.746,0.001,19.93761444091797
8,0.686525473060608,0.75934,0.6598408460617066,0.7691,0.001,19.053929328918457
9,0.6477786130523682,0.77254,0.6570596323013306,0.7721,0.001,20.145844221115112
10,0.6198387386226654,0.78234,0.6253692838668823,0.7811,0.001,19.006881952285767
11,0.5942697623538971,0.79062,0.6554929533004761,0.7752,0.001,19.85947871208191
12,0.5680796789550782,0.80046,0.5879996799468994,0.7981,0.001,18.96481704711914
13,0.557947564983368,0.8043,0.6243381839752197,0.7853,0.001,19.6762592792511
14,0.5384443153381347,0.81072,0.6046374901771545,0.7936,0.001,18.73607873916626
15,0.518860346622467,0.81662,0.5694359702110291,0.8073,0.001,19.80438208580017
