epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,2.141834304820866,47.32709390862944,1.296024935953508,65.94622461928934,0.001,18.245589470863344
2,1.5478375647878888,59.78347081218274,1.1247089222300477,69.83264593908629,0.001,18.204533779621123
3,1.4326440953159494,62.632191201353635,1.0618057789158095,71.51015228426395,0.001,18.116351477305095
4,1.3706968387371392,64.2184856175973,1.0279679659962049,72.0494923857868,0.001,18.17015166680018
5,1.3318091413091282,65.17290609137056,1.0085189960859149,72.80694796954315,0.0002,18.133825953801473
6,1.2251555789545707,68.07979060913705,0.9425246804044937,74.92465101522842,0.0002,18.071447169780733
7,1.2078640374233678,68.53849407783417,0.9338204601618845,75.36484771573605,0.0002,18.06172412633896
8,1.2012832026594584,68.44992597292725,0.9325440158396203,75.25380710659898,0.0002,18.01233201821645
9,1.1960408425371458,68.67068527918782,0.9289867853377071,75.23794416243655,0.0002,18.175086573759714
10,1.1914765105634777,68.96943739424704,0.9293521988739822,75.32122461928934,4e-05,18.053741200764975
11,1.16819439735106,69.58148265651438,0.9183536701396032,75.7336611675127,4e-05,18.18020284573237
12,1.1616234282148268,69.56694162436548,0.9174106051852255,75.75348984771574,4e-05,18.08152165810267
13,1.1604880848915242,69.79298857868021,0.918859777943737,75.62262055837563,4e-05,18.037459580103555
14,1.1582278948144864,69.62114001692048,0.915450216890289,75.66624365482234,4e-05,18.07653137842814
15,1.1564200974357914,69.94236463620982,0.9149183897575751,75.67814086294416,8.000000000000001e-06,18.137246199448903
16,1.1569508803274022,70.0071383248731,0.9131191142546344,75.78918147208122,8.000000000000001e-06,18.094308324654897
17,1.1525277461093897,70.08248730964468,0.9126448886573012,75.81694162436548,8.000000000000001e-06,18.090503350893655
18,1.1520833990295527,69.97673434856176,0.9123872048812469,75.76538705583756,8.000000000000001e-06,18.12116731007894
19,1.1542209127631082,69.89741962774957,0.9120769133498221,75.8209073604061,8.000000000000001e-06,18.167744878927866
20,1.1564970783977542,69.89874153976311,0.9119437675412536,75.8248730964467,1.6000000000000004e-06,18.156221449375153
21,1.15699900527896,70.01506979695432,0.9119116843200578,75.8248730964467,1.6000000000000004e-06,18.07063231468201
22,1.154344112840804,69.96483714043993,0.9118740128230323,75.78521573604061,1.6000000000000004e-06,18.0968754808108
23,1.1542509125573985,69.87230329949239,0.9119209482660754,75.80504441624366,1.6000000000000004e-06,18.206021253267924
24,1.1500616878422383,70.19749365482234,0.9118227474580561,75.79711294416244,1.6000000000000004e-06,18.24029138088226
25,1.1555054430832516,69.84718697123519,0.9118061903769594,75.80504441624366,3.200000000000001e-07,18.359321014086404
26,1.154740088885609,69.93575507614213,0.9118249489722519,75.81297588832487,3.200000000000001e-07,18.266620564460755
27,1.1516038324627174,70.0692681895093,0.9117968907664875,75.81694162436548,3.200000000000001e-07,18.289427347977956
28,1.1528604728518,69.8908100676819,0.9117857164084003,75.81694162436548,3.200000000000001e-07,18.346159978707632
29,1.1498113631597024,69.94500846023689,0.9117997163897238,75.81297588832487,3.200000000000001e-07,18.34923162460327
30,1.1542445134793844,69.99920685279187,0.9117965532589685,75.8209073604061,6.400000000000003e-08,18.330979470411936
