epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_time
1,1.6137175287246703,0.41238,1.2946986545562744,0.529,0.001,18.594765663146973
2,1.2735676598358154,0.54632,1.0775640451431274,0.6245,0.001,19.935439109802246
3,1.109520311870575,0.60892,0.9459122999191284,0.6724,0.001,20.417260885238647
4,0.9997003810882569,0.64552,0.8888002066612244,0.6926,0.001,19.20902180671692
5,0.9233507327651977,0.67712,0.8660256841659546,0.7041,0.001,19.13043451309204
6,0.8641437947273254,0.69768,0.7927704820632935,0.726,0.001,19.30123019218445
7,0.8176053831863404,0.71444,0.8332995025634765,0.7188,0.001,19.089914798736572
8,0.7801422492027282,0.72896,0.73551094789505,0.7478,0.001,19.15825343132019
9,0.7458162936210633,0.74198,0.7018724891662598,0.7549,0.001,19.038130283355713
10,0.7256554867935181,0.74926,0.6789773342132568,0.7661,0.001,19.305538177490234
11,0.7013307191848754,0.75634,0.6824124103069306,0.7659,0.001,19.79444193840027
12,0.6777309472084045,0.76656,0.6816645838737487,0.7642,0.001,18.869547605514526
13,0.6688875733566284,0.76864,0.6766321722984314,0.7694,0.001,19.590444326400757
14,0.6490181825828553,0.77536,0.6313276237487793,0.7852,0.001,18.878681659698486
15,0.6327647949028015,0.77972,0.6290406564712524,0.7834,0.001,19.853767156600952
